|V|,|V| closure,|E| closure,k,i,Algorithm,Time,PP time,Sum time,Est,|E|
10,97,180,9,1,Both,3,8,11,90,100
10,97,180,9,2,Old,8,8,16,656100,100
10,97,180,9,2,New,5,8,13,8100,100
10,180,359,9,1,Both,3,15,18,90,200
10,180,359,9,2,Old,13,14,27,656100,200
10,180,359,9,2,New,6,15,21,8100,200
10,350,794,9,1,Both,4,46,50,90,500
10,350,794,9,2,Old,44,42,86,656100,500
10,350,794,9,2,New,13,45,58,8100,500
15,395,855,14,1,Both,4,95,99,210,500
15,395,855,14,2,Old,181,51,232,8643600,500
15,395,855,14,2,New,28,46,74,44100,500
15,521,1207,14,1,Both,4,129,133,210,750
15,521,1207,14,2,Old,400,109,509,8643600,750
15,521,1207,14,2,New,76,122,198,44100,750
15,673,1598,14,1,Both,4,532,536,210,1000
15,673,1598,14,2,Old,1080,442,1522,8643600,1000
15,673,1598,14,2,New,106,328,434,44100,1000
20,592,1281,19,1,Both,4,115,119,380,750
20,592,1281,19,2,Old,1463,140,1603,52128400,750
20,592,1281,19,2,New,169,138,307,144400,750
20,714,1637,19,1,Both,4,313,317,380,1000
20,714,1637,19,2,Old,2214,320,2534,52128400,1000
20,714,1637,19,2,New,220,316,536,144400,1000
20,1045,2462,19,1,Both,4,2284,2288,380,1500
20,1045,2462,19,2,Old,4750,2061,6811,52128400,1500
20,1045,2462,19,2,New,773,2392,3165,144400,1500
30,1088,2515,29,1,Both,4,1550,1554,870,1500
30,1088,2515,29,2,Old,22335,1082,23417,636552900,1500
30,1088,2515,29,2,New,1309,1257,2566,756900,1500
30,1433,3340,29,1,Both,4,4265,4269,870,2000
30,1433,3340,29,2,Old,142393,2807,145200,636552900,2000
30,1433,3340,29,2,New,2666,2467,5133,756900,2000
30,1593,3977,29,1,Both,5,5395,5400,870,2500
30,1593,3977,29,2,Old,53151,5187,58338,636552900,2500
30,1593,3977,29,2,New,4032,5433,9465,756900,2500
40,1227,2658,39,1,Both,5,2037,2042,1560,1500
40,1227,2658,39,2,Old,54643,1241,55884,3701505600,1500
40,1227,2658,39,2,New,2827,1374,4201,2433600,1500
40,1544,3454,39,1,Both,5,4080,4085,1560,2000
40,1544,3454,39,2,Old,322721,3439,326160,3701505600,2000
40,1544,3454,39,2,New,2549,5651,8200,2433600,2000
40,1813,4213,39,1,Both,5,8151,8156,1560,2500
40,1813,4213,39,2,Old,415205,5295,420500,3701505600,2500
40,1813,4213,39,2,New,8418,7285,15703,2433600,2500
50,1577,3473,49,1,Both,5,2809,2814,2450,2000
50,1577,3473,49,2,Old,481832,2590,484422,14412002500,2000
50,1577,3473,49,2,New,9218,3710,12928,6002500,2000
50,3188,8046,49,1,Both,7,45767,45774,2450,5000
50,3188,8046,49,2,Old,9319606,47050,9366656,14412002500,5000
50,3188,8046,49,2,New,270206,51297,321503,6002500,5000
50,4381,14143,49,1,Both,72,118250,118322,2450,10000
50,4381,14143,49,2,Old,27342206,266303,27608509,14412002500,10000
50,4381,14143,49,2,New,466707,280116,746823,6002500,10000
